pyIssue,pyGroup,pyName,pyLabel,CampaignName,OfferCode,OfferStatus,OfferStartDate,OfferExpireDate,NBAName,NBANumber,NBACategory,NBAType,OfferShortDescriptionEN,OfferShortDescriptionFR,OfferLongDescriptionEN,OfferLongDescriptionFr,PersistenceDays,RestPeriodDays,OfferCondition,IncentiveAmount,PS_CD,PrimaryProductServiceSubCode,RetailOrSmallBusiness,PrimaryProductServiceNameEN,OfferType,OfferClassification,OfferSubClassification,Prestaged,CreativeID,SOL,SMC,SSC,SIC,SSP,MOB,MMC,MIC,ABM,CSE,PrimaryProductFeaturesEN,PrimaryProductFeaturesFR,DCM,DHC,DMB,DPB,MCP,OfferName,SCP,MSP,CSA,DIA,ATC_NONPEGA,ATC_PEGA,EngagementType,CUSTOMER_RELEVANCE,EML,MOBSeed,SOLSeed,PMT,InteractionLevel,Level0InteractionCode,COP,AFILUAInsight,AFILUAInsightMax,AFILUAInsightMin,CCMinPmtInsight,CCMinPmtInsightMax,CCMinPmtInsightMin,ChannelSubgroup,ChqPurFreqFlashInsight,ChqPurFreqFlashInsightMax,ChqPurFreqFlashInsightMin,ChqPurFreqInsight,ChqPurFreqInsightMax,ChqPurFreqInsightMin,DepositSubgroup,InsuranceSubgroup,InvestmentSubgroup,LendingSubgroup,PaymentSubgroup,ProductGroup,ProductIndicator,ProductType,RelationshipSubgroup,TravelInsight,TravelInsightMax,TravelInsightMin,PrimaryProductServiceNameFR,BRN,BOT,CRM,BusinessGroup,BusinessOwner,CampaignCode,PEG,REB,RES,CRO,StartDate,EndDate,pyIsPropositionActive,PrimaryProductCode,PrimaryProductSubCode,PrimarySourceCode,Alt1ProductCode,Alt1ProductSubCode,Alt1SourceCode,Alt2ProductCode,Alt2ProductSubCode,Alt2SourceCode
Engagement,UnsecuredLending,CIE4480,Pre-Approved Credit Limit Increase - Amex CLI - Sole Borrower,Credit Card CLI,CIE4480,InMarket,8/3/2018,12/31/2050,Increase borrowing limit on credit cards,10,Payment NBA,Show My Customer,Pre-Approved Credit Limit Increase,Hausse limite de crédit préapprouvée,Pre-Approved Credit Limit Increase,Hausse limite de crédit préapprouvée,90,0,Your account must be in good standing at the time of processing. This is exclusive to pre-selected Scotiabank cardmembers who are Canadian residents. After offer expires you must complete an application for an increase,0,CARD,REX,Retail,Credit Limit increase,Usage,Discretionary,NonContextual,FALSE,1011430101,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Credit Limit increase,Credit Limit increase,FALSE,FALSE,FALSE,FALSE,FALSE,Credit Limit Increase,FALSE,FALSE,FALSE,FALSE,"origination_source, language, scotiaCardNumber, ProductCode","offerExpireDate, campaignNum, creativeID, current_account_number, product_code, sub_product_code, approved_credit_limit",NBA,Customers are high likely to respond.,FALSE,TRUE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,,Product,Credit Card,,FALSE,1,0.5,Credit Limit increase,TRUE,FALSE,TRUE,Credit Card,CIM,VS18076,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Engagement,UnsecuredLending,CIE4479,Pre-Approved Credit Limit Increase - VISA CLI - Sole Borrower,Credit Card CLI,CIE4479,InMarket,8/3/2018,12/31/2050,Increase borrowing limit on credit cards,10,Payment NBA,Show My Customer,Pre-Approved Credit Limit Increase,Hausse limite de crédit préapprouvée,Pre-Approved Credit Limit Increase,Hausse limite de crédit préapprouvée,90,0,Your account must be in good standing at the time of processing. This is exclusive to pre-selected Scotiabank cardmembers who are Canadian residents. After offer expires you must complete an application for an increase,0,CARD,REX,Retail,Credit Limit increase,Usage,Discretionary,NonContextual,FALSE,4479121901,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Credit Limit increase,Credit Limit increase,FALSE,FALSE,FALSE,FALSE,FALSE,Pre-Approved Credit Limit Increase,FALSE,FALSE,FALSE,FALSE,"origination_source, language, scotiaCardNumber, ProductCode","offerExpireDate, campaignNum, creativeID, current_account_number, product_code, sub_product_code, approved_credit_limit",NBA,Customers are high likely to respond.,FALSE,TRUE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,,Product,Credit Card,,FALSE,1,0.5,Credit Limit increase,TRUE,FALSE,TRUE,Credit Card,CIM,VS18076,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Engagement,UnsecuredLending,CIE4482,Pre-Approved Credit Limit Increase - Amex CLI - Co-Borrower,Credit Card CLI,CIE4482,InMarket,8/3/2018,12/31/2050,Increase borrowing limit on credit cards,10,Payment NBA,Show My Customer,Pre-Approved Credit Limit Increase,Hausse limite de crédit préapprouvée,Pre-Approved Credit Limit Increase,Hausse limite de crédit préapprouvée,90,0,Your account must be in good standing at the time of processing. This is exclusive to pre-selected Scotiabank cardmembers who are Canadian residents. After offer expires you must complete an application for an increase,0,CARD,REX,Retail,Credit Limit increase,Usage,Discretionary,NonContextual,FALSE,1011430101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Credit Limit increase,Credit Limit increase,FALSE,FALSE,FALSE,FALSE,FALSE,Credit Limit Increase,FALSE,FALSE,FALSE,FALSE,"origination_source, language, scotiaCardNumber, ProductCode","offerExpireDate, campaignNum, creativeID, current_account_number, product_code, sub_product_code, approved_credit_limit",NBA,Customers are high likely to respond.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,,Product,Credit Card,,FALSE,1,0.5,Credit Limit increase,TRUE,FALSE,TRUE,Credit Card,CIM,VS18076,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Engagement,UnsecuredLending,CIE4481,Pre-Approved Credit Limit Increase - VISA CLI - Co-Borrower,Credit Card CLI,CIE4481,InMarket,8/3/2018,12/31/2050,Increase borrowing limit on credit cards,10,Payment NBA,Show My Customer,Pre-Approved Credit Limit Increase,Hausse limite de crédit préapprouvée,Pre-Approved Credit Limit Increase,Hausse limite de crédit préapprouvée,90,0,Your account must be in good standing at the time of processing. This is exclusive to pre-selected Scotiabank cardmembers who are Canadian residents. After offer expires you must complete an application for an increase,0,CARD,REX,Retail,Credit Limit increase,Usage,Discretionary,NonContextual,FALSE,1011430101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Credit Limit increase,Credit Limit increase,FALSE,FALSE,FALSE,FALSE,FALSE,Credit Limit Increase,FALSE,FALSE,FALSE,FALSE,"origination_source, language, scotiaCardNumber, ProductCode","offerExpireDate, campaignNum, creativeID, current_account_number, product_code, sub_product_code, approved_credit_limit",NBA,Customers are high likely to respond.,FALSE,FALSE,FALSE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,0.8,,FALSE,,10,FALSE,,10,,,,,,,Product,Credit Card,,FALSE,1,0.5,Credit Limit increase,TRUE,FALSE,TRUE,Credit Card,CIM,VS18076,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Upsell,Insurance,CIE2423,Offer Creditor Insurance,Creditor Insurance,CIE2423,InMarket,9/17/2021,12/31/2050,Offer creditor insurance (Payment),9,Insurance NBA,Show My Customer,Offer Creditor Insurance Initial,TBD,Customer's credit card doesn't have the optional Scotia credit card insurance.,TBD,30,150,Customer may have previously been offered SCCP when they opened their credit card. As their circumstance may have changed it is important to engage in discovery conversation to understand their need. Refer to inbound sale if customer wants to learn more.,,INS,SCCPI,Retail,The Scotia Credit Card Protection insurance plan is an optional insurance coverage available to Scotiabank VISA and American Express credit card customers to provide comprehensive insurance coverage that stays in place as your protection needs change.,Acquisition,Discretionary,Contextual,FALSE,2423021701,TRUE,TRUE,FALSE,,,TRUE,TRUE,FALSE,FALSE,TRUE,"Coverage can provide the financial safety net during a difficult time that may be caused by common life events: disability, job loss, strike, lockout, critical illness or should you pass away. Approval is fast without any medical information required.","Cette assurance peut fournir une protection financière durant une période difficile causée par divers événements de la vie : invalidité, perte d'emploi, grève ou lockout, maladie grave et décès. Processus d'approbation rapide et sans examen médical.",FALSE,FALSE,FALSE,FALSE,FALSE,Minimum Payment on Visa - Credit Card Protection,FALSE,FALSE,FALSE,FALSE,,,NBA,Customer's credit card doesn't have the optional Scotia credit card insurance.,FALSE,FALSE,TRUE,FALSE,L0,,FALSE,FALSE,1,1,FALSE,1,1,,FALSE,,10,FALSE,,10,,,,,,Creditor Ins,Product,Other,,FALSE,1,0.5,La Protection Carte de crédit Scotia est une assurance facultative offerte aux clients titulaires des cartes Visa Banque Scotia et American Express qui procure une protection complète alors que vos besoins en assurance changent au fil du temps.,FALSE,FALSE,FALSE,Insurance,CIM,VS17084,FALSE,FALSE,FALSE,FALSE,,,Always,,,,,,,,,
Engagement,D2D,CIE4330,D2D Engagement -Welcome-BBA,D2D Engagement - Welcome,CIE4330,InMarket,,12/31/2050,Inform Customer,37,Customer Relationship NBA,Know My Customer,D2D Engagement -Welcome-BBA,,D2D Engagement -Welcome-BBA- No Incentive- Always on,,20,2,,,WEL,,,Welcome,Onboarding,,,,4330011801,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,D2D Engagement -Welcome-BBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RS17103,,,,,,,,,,,,,,,,
Engagement,D2D,CIE4331,D2D Engagement -Welcome-BBP,D2D Engagement - Welcome,CIE4331,InMarket,,12/31/2050,Inform Customer,37,Customer Relationship NBA,Know My Customer,D2D Engagement -Welcome-BBP,,D2D Engagement -Welcome-BBP- No Incentive- Always on,,20,2,,,WEL,,,Welcome,Onboarding,,,,4331011801,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,D2D Engagement -Welcome-BBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RS17103,,,,,,,,,,,,,,,,
Engagement,D2D,CIE4332,D2D Engagement -Welcome-ScotiaOne,D2D Engagement - Welcome,CIE4332,InMarket,,12/31/2050,Inform Customer,37,Customer Relationship NBA,Know My Customer,D2D Engagement -Welcome-ScotiaOne,,D2D Engagement -Welcome-ScotiaOne- No incentive- Always on,,20,2,,,WEL,,,Welcome,Onboarding,,,,4332011801,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,D2D Engagement -Welcome-ScotiaOne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RS17103,,,,,,,,,,,,,,,,
Engagement,D2D,CIE4334,D2D Engagement -Welcome-SBAP,D2D Engagement - Welcome,CIE4334,InMarket,,12/31/2050,Inform Customer,37,Customer Relationship NBA,Know My Customer,D2D Engagement -Welcome-SBAP,,D2D Engagement -Welcome-SBAP- No incentive- Always on,,20,2,,,WEL,,,Welcome,Onboarding,,,,4334011801,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,D2D Engagement -Welcome-SBAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RS17103,,,,,,,,,,,,,,,,
Engagement,D2D,CIE4658,D2D Engagement -Welcome-Ultimate,D2D Engagement - Welcome,CIE4658,InMarket,,12/31/2050,Inform Customer,37,Customer Relationship NBA,Know My Customer,D2D Engagement -Welcome-Ultimate,,D2D Engagement -Welcome-Ultimate-no incentive -always on,,20,2,,,WEL,,,Welcome,Onboarding,,,,4658071901,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,D2D Engagement -Welcome-Ultimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RS17103,,,,,,,,,,,,,,,,
